time,duration_s,phase,show_this,click_this,say_this,proof_point,if_it_breaks
-10:00,-,SETUP,"Terminal, repo root","cd into semantic-reconciliation-engine, then run: .venv\Scripts\activate","Nothing - this is pre-demo prep, do it before anyone is watching.",A demo that starts with an install is a demo that ends at minute five.,If .venv is missing: pip install -e .[all]
-09:00,-,SETUP,Terminal,$env:RECON_USE_REAL_EMBEDDINGS='false',Nothing.,"Forces the offline deterministic embedder. Same 100 percent accuracy, run drops from 12.5s to 0.05s - the 12.5s is MiniLM model load, not matching.","If you forget this, the live Run button stalls about 13s. Fill the silence with the escalation story."
-08:00,-,SETUP,Terminal,python scripts/generate_data.py ; python scripts/run_reconciliation.py,Nothing.,"Warms the batch so the dashboard opens on Live results, not the empty state.","If it errors, check data/raw/ holds all three CSVs."
-07:00,-,SETUP,Terminal,python -m pytest -q,Nothing.,Confirms 167 passed. Leave this terminal open on a second tab - it is your closing slide.,"If any test fails, do NOT show the terminal, close on the dashboard instead."
-05:00,-,SETUP,Browser,python -m streamlit run app.py,Nothing.,Dashboard on localhost:8501. Zoom the browser to 80 percent so the KPI row and the rings fit one screen. Dark theme is already forced in .streamlit/config.toml.,Port busy: streamlit run app.py --server.port 8502
-02:00,-,SETUP,Second editor tab,Open data/raw/razorpay_settlements.csv and data/raw/bank_statement.csv,Nothing.,You jump here for 25 seconds at minute 3:50. Have it pre-opened - no file browsing on stage.,Skip this beat entirely if you are behind schedule.
0:00,20,1 - HOOK,"Hero banner: title, tagline, and the four-node chain Rule to TF-IDF to FAISS to LLM",Nothing - let it sit on screen,"Finance ops has a verification problem, not a matching problem. Bank statements truncate narrations, payment gateways mask merchant refs, invoices carry typo'd customer names. Exact-match reconciliation breaks on all three, and a human ends up eyeballing spreadsheets.",The hero states the thesis before any number appears. Judges should know what problem you own within 20 seconds.,-
0:20,20,1 - HOOK,"Hero, still",Point at the four-node chain,"Most demos do a two-way match - settlement against bank, or invoice against settlement. This closes the full triangle: Invoice to Razorpay Settlement to Bank. A settlement that never reaches the bank, and an invoice that was never settled, are exactly the gaps finance ops loses days chasing - and a two-way match cannot see either of them.",Three-way is the differentiator. Say the word triangle - it is what they will remember.,-
0:40,25,2 - THE DATA,Sidebar: Records / Elapsed / Throughput / Exceptions,Point at the sidebar Last run block,"180 records across three ledgers: 60 invoices, 57 settlements, 63 bank lines. Deliberately not clean - the generator injects truncated narrations, masked merchant refs, gateway fee and tax deductions, settlement lag, and typo'd company names.",The counts do not tie: 60 vs 57 vs 63. That mismatch IS the problem statement. Point at it.,"If the sidebar reads No run yet, hit Run reconciliation first and narrate over the spinner."
1:05,20,2 - THE DATA,Sidebar About block,Nothing,"And critically, the generator also emits the ground-truth mapping it used to create that noise. So every accuracy number on this screen is measured against a known answer key, not asserted.",This is the credibility hook for the accuracy section 90 seconds later. Plant it here.,-
1:25,15,3 - LIVE RUN,Sidebar button,CLICK: Run reconciliation,"Let me just run it. This is not a cached screenshot - the dashboard shells out to the exact same CLI that CI runs, scripts/run_reconciliation.py.",Same entry point as CI means the demo cannot diverge from the tested path. Engineers on the panel will notice.,"If it fails, expand the Run log - it is right there in the sidebar. Then fall back to the pre-warmed numbers already on screen."
1:40,20,3 - LIVE RUN,KPI row repaints,Point at Throughput,"180 records, under 50 milliseconds - a few thousand records a second. And the accuracy did not move - I will show you in a moment why that matters.","Live run, sub-second, unchanged accuracy. Do not oversell the throughput - the honest framing is that the cost here is model load, not matching.",-
2:00,20,4 - RUN SUMMARY,KPI cards 1 and 2,"Point at Records reconciled, then Complete triangles","180 records reconciled. 53 complete triangles - invoice, settlement and bank, all three legs closed - plus 4 partials where one leg is still missing.",The complete triangle is the unit of work here. Not matches - triangles.,-
